fecha,fecha de corte,Valor exportaciones totales bienes,Valor exportaciones NME,exportaciones de servicios,Valor exportaciones NME + exportaciones de servicios,Valor de exportaciones totales bienes + exportaciones de servicios,(valor exportaciones NME + exportaciones de servicios)/(valor exportaciones totales bienes + exportaciones de servicios)
03/31/2000 12:00:00 AM,10/01/2021 12:00:00 AM,3119,1575,468,2043,3587,57
06/30/2000 12:00:00 AM,10/01/2021 12:00:00 AM,3187,1702,498,2201,3685,59.7
09/30/2000 12:00:00 AM,10/01/2021 12:00:00 AM,3450,1927,532,2459,3982,61.8
12/31/2000 12:00:00 AM,10/01/2021 12:00:00 AM,3403,1869,564,2433,3967,61.3
03/31/2001 12:00:00 AM,10/01/2021 12:00:00 AM,2984,1704,514,2218,3498,63.4
06/30/2001 12:00:00 AM,10/01/2021 12:00:00 AM,3123,1838,544,2382,3667,65
09/30/2001 12:00:00 AM,10/01/2021 12:00:00 AM,3274,1918,554,2473,3829,64.6
12/31/2001 12:00:00 AM,10/01/2021 12:00:00 AM,2948,1938,590,2528,3538,71.4
03/31/2002 12:00:00 AM,10/01/2021 12:00:00 AM,2749,1649,464,2114,3213,65.8
06/30/2002 12:00:00 AM,10/01/2021 12:00:00 AM,3122,1903,473,2375,3594,66.1
09/30/2002 12:00:00 AM,10/01/2021 12:00:00 AM,3012,1802,485,2287,3497,65.4
12/31/2002 12:00:00 AM,10/01/2021 12:00:00 AM,3093,1753,468,2222,3561,62.4
03/31/2003 12:00:00 AM,10/01/2021 12:00:00 AM,2991,1627,429,2056,3420,60.1
06/30/2003 12:00:00 AM,10/01/2021 12:00:00 AM,3278,1710,460,2170,3738,58
09/30/2003 12:00:00 AM,10/01/2021 12:00:00 AM,3440,1826,505,2330,3945,59.1
12/31/2003 12:00:00 AM,10/01/2021 12:00:00 AM,3420,1874,536,2410,3955,60.9
03/31/2004 12:00:00 AM,10/01/2021 12:00:00 AM,3422,1867,527,2394,3949,60.6
06/30/2004 12:00:00 AM,10/01/2021 12:00:00 AM,4041,2216,543,2759,4584,60.2
09/30/2004 12:00:00 AM,10/01/2021 12:00:00 AM,4577,2480,659,3139,5237,59.9
12/31/2004 12:00:00 AM,10/01/2021 12:00:00 AM,4748,2590,708,3298,5456,60.4
03/31/2005 12:00:00 AM,10/01/2021 12:00:00 AM,4630,2532,620,3152,5251,60
06/30/2005 12:00:00 AM,10/01/2021 12:00:00 AM,5518,2960,699,3658,6216,58.9
09/30/2005 12:00:00 AM,10/01/2021 12:00:00 AM,5445,2889,756,3645,6201,58.8
12/31/2005 12:00:00 AM,10/01/2021 12:00:00 AM,5554,2872,881,3753,6434,58.3
03/31/2006 12:00:00 AM,10/01/2021 12:00:00 AM,5460,2855,918,3773,6378,59.1
06/30/2006 12:00:00 AM,10/01/2021 12:00:00 AM,6123,3102,819,3921,6942,56.5
09/30/2006 12:00:00 AM,10/01/2021 12:00:00 AM,6376,3355,915,4270,7291,58.6
12/31/2006 12:00:00 AM,10/01/2021 12:00:00 AM,6553,3533,1043,4576,7595,60.2
03/31/2007 12:00:00 AM,10/01/2021 12:00:00 AM,6143,3456,1061,4517,7204,62.7
06/30/2007 12:00:00 AM,10/01/2021 12:00:00 AM,7340,3781,1093,4874,8433,57.8
09/30/2007 12:00:00 AM,10/01/2021 12:00:00 AM,7792,4195,1153,5348,8945,59.8
12/31/2007 12:00:00 AM,10/01/2021 12:00:00 AM,9004,4937,1265,6202,10269,60.4
03/31/2008 12:00:00 AM,10/01/2021 12:00:00 AM,8672,4224,1372,5596,10044,55.7
06/30/2008 12:00:00 AM,10/01/2021 12:00:00 AM,10434,4590,1302,5893,11736,50.2
09/30/2008 12:00:00 AM,10/01/2021 12:00:00 AM,10230,4482,1378,5860,11608,50.5
12/31/2008 12:00:00 AM,10/01/2021 12:00:00 AM,7451,4417,1413,5830,8863,65.8
03/31/2009 12:00:00 AM,10/01/2021 12:00:00 AM,7577,3883,1287,5170,8864,58.3
06/30/2009 12:00:00 AM,10/01/2021 12:00:00 AM,7908,3673,1251,4925,9160,53.8
09/30/2009 12:00:00 AM,10/01/2021 12:00:00 AM,8368,3507,1365,4871,9733,50
12/31/2009 12:00:00 AM,10/01/2021 12:00:00 AM,8993,3323,1469,4792,10462,45.8
03/31/2010 12:00:00 AM,06/02/2023 12:00:00 AM,9120,3319,1389,4708,10510,44.8
06/30/2010 12:00:00 AM,06/02/2023 12:00:00 AM,10065,3467,1363,4829,11428,42.3
09/30/2010 12:00:00 AM,06/02/2023 12:00:00 AM,9721,3297,1562,4859,11282,43.1
12/31/2010 12:00:00 AM,06/02/2023 12:00:00 AM,10807,3709,1710,5419,12517,43.3
03/31/2011 12:00:00 AM,06/02/2023 12:00:00 AM,12612,4004,1486,5490,14098,38.9
06/30/2011 12:00:00 AM,06/02/2023 12:00:00 AM,14686,4228,1495,5723,16181,35.4
09/30/2011 12:00:00 AM,06/02/2023 12:00:00 AM,14390,3809,1705,5514,16095,34.3
12/31/2011 12:00:00 AM,06/02/2023 12:00:00 AM,15227,4011,1839,5850,17066,34.3
03/31/2012 12:00:00 AM,06/02/2023 12:00:00 AM,15497,3885,1820,5706,17318,32.9
06/30/2012 12:00:00 AM,06/02/2023 12:00:00 AM,14978,3950,1716,5665,16693,33.9
09/30/2012 12:00:00 AM,06/02/2023 12:00:00 AM,14458,4157,1917,6074,16375,37.1
12/31/2012 12:00:00 AM,06/02/2023 12:00:00 AM,15192,4109,2095,6204,17287,35.9
03/31/2013 12:00:00 AM,06/02/2023 12:00:00 AM,14135,3831,1864,5695,15999,35.6
06/30/2013 12:00:00 AM,06/02/2023 12:00:00 AM,15153,4432,1994,6426,17147,37.5
09/30/2013 12:00:00 AM,06/02/2023 12:00:00 AM,14480,3923,2091,6014,16571,36.3
12/31/2013 12:00:00 AM,06/02/2023 12:00:00 AM,15059,4172,2336,6508,17394,37.4
03/31/2014 12:00:00 AM,06/02/2023 12:00:00 AM,13488,3710,2023,5732,15511,37
06/30/2014 12:00:00 AM,06/02/2023 12:00:00 AM,14517,4147,2046,6193,16563,37.4
09/30/2014 12:00:00 AM,06/02/2023 12:00:00 AM,14939,4362,2198,6560,17137,38.3
12/31/2014 12:00:00 AM,06/02/2023 12:00:00 AM,11912,4144,2261,6405,14172,45.2
03/31/2015 12:00:00 AM,06/02/2023 12:00:00 AM,9540,3768,2053,5821,11593,50.2
06/30/2015 12:00:00 AM,06/02/2023 12:00:00 AM,9818,3866,1974,5840,11792,49.5
09/30/2015 12:00:00 AM,06/02/2023 12:00:00 AM,8810,3842,2146,5988,10957,54.7
12/31/2015 12:00:00 AM,06/02/2023 12:00:00 AM,7849,3588,2261,5849,10110,57.9
03/31/2016 12:00:00 AM,06/02/2023 12:00:00 AM,6583,3297,2028,5325,8611,61.8
06/30/2016 12:00:00 AM,06/02/2023 12:00:00 AM,7996,3676,1962,5637,9957,56.6
09/30/2016 12:00:00 AM,06/02/2023 12:00:00 AM,8109,3366,2253,5618,10362,54.2
12/31/2016 12:00:00 AM,06/02/2023 12:00:00 AM,9081,3855,2463,6318,11544,54.7
03/31/2017 12:00:00 AM,06/02/2023 12:00:00 AM,8801,3537,2190,5727,10991,52.1
06/30/2017 12:00:00 AM,06/02/2023 12:00:00 AM,9099,3690,2313,6004,11412,52.6
09/30/2017 12:00:00 AM,06/02/2023 12:00:00 AM,9707,3980,2343,6324,12050,52.5
12/31/2017 12:00:00 AM,06/02/2023 12:00:00 AM,10415,3735,2689,6424,13104,49
03/31/2018 12:00:00 AM,06/02/2023 12:00:00 AM,9718,3797,2689,6486,12407,52.3
06/30/2018 12:00:00 AM,06/02/2023 12:00:00 AM,10838,4071,2485,6556,13323,49.2
09/30/2018 12:00:00 AM,06/02/2023 12:00:00 AM,10829,3790,2588,6378,13418,47.5
12/31/2018 12:00:00 AM,06/02/2023 12:00:00 AM,10520,3706,2969,6675,13489,49.5
03/31/2019 12:00:00 AM,06/02/2023 12:00:00 AM,9594,3780,2694,6474,12288,52.7
06/30/2019 12:00:00 AM,06/02/2023 12:00:00 AM,10708,3875,2404,6279,13112,47.9
09/30/2019 12:00:00 AM,06/02/2023 12:00:00 AM,9587,3839,2648,6487,12235,53
12/31/2019 12:00:00 AM,06/02/2023 12:00:00 AM,9600,3815,2923,6738,12523,53.8
03/31/2020 12:00:00 AM,06/02/2023 12:00:00 AM,8802,3707,2509,6216,11311,55
06/30/2020 12:00:00 AM,06/02/2023 12:00:00 AM,6375,3104,896,4000,7271,55
09/30/2020 12:00:00 AM,06/02/2023 12:00:00 AM,7682,3700,1010,4710,8692,54.2
12/31/2020 12:00:00 AM,06/02/2023 12:00:00 AM,8197,4098,1500,5598,9697,57.7
03/31/2021 12:00:00 AM,06/02/2023 12:00:00 AM,8933,4236,1578,5814,10511,55.3
06/30/2021 12:00:00 AM,06/02/2023 12:00:00 AM,9256,3965,1774,5739,11030,52
09/30/2021 12:00:00 AM,06/02/2023 12:00:00 AM,10702,4859,2157,7016,12858,54.6
12/31/2021 12:00:00 AM,06/02/2023 12:00:00 AM,12499,5125,2669,7795,15169,51.4
03/31/2022 12:00:00 AM,03/04/2025 12:00:00 AM,12791,5366,3081,8447,15872,53.2
06/30/2022 12:00:00 AM,06/04/2025 12:00:00 AM,15621,5642,3339,8981,18960,47.4
09/30/2022 12:00:00 AM,06/04/2025 12:00:00 AM,15081,5469,3808,9277,18889,49.1
12/31/2022 12:00:00 AM,06/04/2025 12:00:00 AM,13418,5139,3816,8955,17234,52
03/31/2023 12:00:00 AM,06/04/2025 12:00:00 AM,12437,4848,3678,8527,16116,52.9
06/30/2023 12:00:00 AM,06/04/2025 12:00:00 AM,12258,5166,3790,8956,16048,55.8
09/30/2023 12:00:00 AM,06/04/2025 12:00:00 AM,12279,4847,4188,9035,16467,54.9
12/31/2023 12:00:00 AM,06/04/2025 12:00:00 AM,12795,5032,4375,9407,17169,54.8
03/31/2024 12:00:00 AM,06/04/2025 12:00:00 AM,11299,4971,4343,9314,15642,59.5
06/30/2024 12:00:00 AM,06/04/2025 12:00:00 AM,12719,5594,4180,9774,16899,57.8
09/30/2024 12:00:00 AM,06/04/2025 12:00:00 AM,12623,5529,4692,10221,17314,59
12/31/2024 12:00:00 AM,06/04/2025 12:00:00 AM,12916,5900,4696,10596,17612,60.2
03/31/2025 12:00:00 AM,06/04/2025 12:00:00 AM,11955,6140,4762,10902,16717,65.2
