ID_cliente,Edad,Ingreso_mensual,Categoría,Ciudad,País
ID_001,-1.0,,b,,
ID_002,,,b,Ciudad_B,Pais_Y
ID_003,150.0,7646.28,A,Ciudad_B,
ID_004,30.0,-500,VIP,Ciudad123,Pais_X
ID_005,150.0,N/A,a,ciudad_a,Pais_X
ID_006,-1.0,16558.77,B,,Pais_Y
ID_007,-1.0,,A,,Pais_Y
ID_184,-1.0,15340.81,B,,
ID_009,48.0,-500,a,,Pais_Y
ID_010,,-500,C,,Pais_Y
ID_011,33.0,,B,Ciudad_A,
ID_012,150.0,-500,b,,Pais_Y
ID_013,54.0,,,ciudad_a,
ID_014,81.0,,A,Ciudad_B,
ID_015,68.0,N/A,VIP,Ciudad-C,Pais_X
ID_016,-1.0,18961.81,B,Ciudad_B,
ID_439,150.0,-500,A,ciudad_a,Pais_Y
ID_085,-1.0,2742.51,,Ciudad_A,Pais_X
ID_019,22.0,12422.06,VIP,Ciudad_B,
ID_020,-1.0,8397.15,C,ciudad_a,
ID_021,29.0,3584.98,C,Ciudad_A,
ID_022,150.0,N/A,A,Ciudad_B,
ID_023,19.0,-500,B,Ciudad-C,Pais_X
ID_024,,13244.05,B,Ciudad-C,Pais_X
ID_025,-1.0,16717.33,B,Ciudad-C,Pais_X
ID_026,29.0,11771.21,,Ciudad_B,Pais_Y
ID_027,60.0,,b,,
ID_028,,N/A,A,Ciudad-C,Pais_Y
ID_029,32.0,,A,,
ID_030,,-500,A,Ciudad_A,
ID_031,-1.0,-500,C,Ciudad123,Pais_X
ID_032,-1.0,,B,,Pais_X
ID_285,,-500,B,Ciudad_A,Pais_Y
ID_034,,-500,b,Ciudad_B,
ID_145,-1.0,N/A,b,ciudad_a,Pais_X
ID_036,150.0,-500,a,Ciudad-C,
ID_037,,12113.32,A,Ciudad123,Pais_Y
ID_038,,,A,Ciudad_B,
ID_039,52.0,,VIP,ciudad_a,
ID_143,-1.0,11022.8,B,Ciudad_B,
ID_041,18.0,,C,Ciudad_A,Pais_Y
ID_042,,-500,b,Ciudad123,Pais_X
ID_043,89.0,16732.84,b,Ciudad123,
